GN,GN Latitude,GN Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Kuda Buthgamuwa,6.9383682,79.9174414,Kelanimulla,6.943993245330551,79.9188192596727,Bus station
Kuda Buthgamuwa,6.9383682,79.9174414,Angoda,6.935857776224896,79.9157583899579,Bus station
Kuda Buthgamuwa,6.9383682,79.9174414,Angoda junction,6.936238234205687,79.9271267958304,Bus station
Kuda Buthgamuwa,6.9383682,79.9174414,Waliwala junction,6.935386207796616,79.92179803919204,Bus station
Kuda Buthgamuwa,6.9383682,79.9174414,140 Bus Stand,6.929724,79.9187248,Bus station
Ambathale,6.9412026,79.940256,Ambathale,6.937590236586033,79.94798855203204,Bus station
Mulleriyawa North,6.9436128,79.9290642,Angoda junction,6.936238234205687,79.9271267958304,Bus station
Belagama,6.9355485,79.9234678,Angoda junction,6.936238234205687,79.9271267958304,Bus station
Belagama,6.9355485,79.9234678,140 Bus Stand,6.929724,79.9187248,Bus station
Belagama,6.9355485,79.9234678,Angoda,6.935857776224896,79.9157583899579,Bus station
Belagama,6.9355485,79.9234678,Waliwala junction,6.935386207796616,79.92179803919204,Bus station
Belagama,6.9355485,79.9234678,Kelanimulla,6.943993245330551,79.9188192596727,Bus station
Kotikawatta East,6.9327812,79.9178709,Waliwala junction,6.935386207796616,79.92179803919204,Bus station
Kotikawatta East,6.9327812,79.9178709,Angoda,6.935857776224896,79.9157583899579,Bus station
Kotikawatta East,6.9327812,79.9178709,140 Bus Stand,6.929724,79.9187248,Bus station
Kotikawatta East,6.9327812,79.9178709,Angoda junction,6.936238234205687,79.9271267958304,Bus station
Maha Buthgamuwa A,6.9373109,79.9129735,Angoda,6.935857776224896,79.9157583899579,Bus station
Maha Buthgamuwa A,6.9373109,79.9129735,Gothatuwa Bus Stop,6.929174677119029,79.90643978118896,Bus station
Maha Buthgamuwa A,6.9373109,79.9129735,Waliwala junction,6.935386207796616,79.92179803919204,Bus station
Maha Buthgamuwa A,6.9373109,79.9129735,Kelanimulla,6.943993245330551,79.9188192596727,Bus station
Maha Buthgamuwa A,6.9373109,79.9129735,140 Bus Stand,6.929724,79.9187248,Bus station
Maha Buthgamuwa C,6.9378983,79.9094751,Angoda,6.935857776224896,79.9157583899579,Bus station
Maha Buthgamuwa C,6.9378983,79.9094751,Gothatuwa Bus Stop,6.929174677119029,79.90643978118896,Bus station
Maha Buthgamuwa C,6.9378983,79.9094751,Kelanimulla,6.943993245330551,79.9188192596727,Bus station
Dahampura,6.8016629,79.8779834,Angulana Junction,6.804270786078464,79.88678455352783,Bus station
Dahampura,6.8016629,79.8779834,Matara-Colombo Bus,6.795196533203125,79.885498046875,Bus station
Dahampura,6.8016629,79.8779834,155 Bus Stand,6.804631927305704,79.88436191595788,Bus station
Dahampura,6.8016629,79.8779834,Agulana Bus Stop,6.805485257257568,79.88532543182373,Bus station
Dahampura,6.8016629,79.8779834,Soyza pura bushalt,6.805119138290023,79.88442206271043,Bus station
Dahampura,6.8016629,79.8779834,Katubadda Bus Stand,6.799327643626798,79.8882007598877,Bus station
Dahampura,6.8016629,79.8779834,Angulana Junction,6.804270786078464,79.88678455352783,Bus station
Dahampura,6.8016629,79.8779834,Matara-Colombo Bus,6.795196533203125,79.885498046875,Bus station
Dahampura,6.8016629,79.8779834,Soyza pura bushalt,6.805119138290023,79.88442206271043,Bus station
Dahampura,6.8016629,79.8779834,Agulana Bus Stop,6.805485257257568,79.88532543182373,Bus station
Dahampura,6.8016629,79.8779834,155 Bus Stand,6.804631927305704,79.88436191595788,Bus station
Dahampura,6.8016629,79.8779834,Katubadda Bus Stand,6.799327643626798,79.8882007598877,Bus station
Bopetta,6.9318358,79.9045771,Gothatuwa Bus Stop,6.929174677119029,79.90643978118896,Bus station
Bopetta,6.9318358,79.9045771,wallampitiya bus stop,6.9360780937929825,79.89532981618905,Bus station
Batalandahena,6.9316018,79.9091252,Gothatuwa Bus Stop,6.929174677119029,79.90643978118896,Bus station
Batalandahena,6.9316018,79.9091252,Angoda,6.935857776224896,79.9157583899579,Bus station
Batalandahena,6.9316018,79.9091252,140 Bus Stand,6.929724,79.9187248,Bus station
Batalandahena,6.9316018,79.9091252,I.D.H bus stop,6.923119310267675,79.91322762591658,Bus station
Kotikawatta West,6.9295457,79.921369,Waliwala junction,6.935386207796616,79.92179803919204,Bus station
Kotikawatta West,6.9295457,79.921369,Angoda,6.935857776224896,79.9157583899579,Bus station
Kotikawatta West,6.9295457,79.921369,140 Bus Stand,6.929724,79.9187248,Bus station
Kotikawatta West,6.9295457,79.921369,Angoda junction,6.936238234205687,79.9271267958304,Bus station
Mulleriyawa South,6.9339712,79.9286801,Angoda junction,6.936238234205687,79.9271267958304,Bus station
Mulleriyawa South,6.9339712,79.9286801,Waliwala junction,6.935386207796616,79.92179803919204,Bus station
Udumulla North,6.9333765,79.9458514,Ambathale,6.937590236586033,79.94798855203204,Bus station
Udumulla North,6.9333765,79.9458514,138 Bus Line,6.932373069816743,79.9517769550128,Bus station
Maligagodella,6.9274925,79.9493483,138 Bus Line,6.932373069816743,79.9517769550128,Bus station
Himbutana West,6.9224875,79.9318623,Aggona junction,6.918582164589224,79.927094004473,Bus station
Himbutana West,6.9224875,79.9318623,Walpola,6.918600795801119,79.92707486263836,Bus station
Malpura,6.9256038,79.9227682,Aggona junction,6.918582164589224,79.927094004473,Bus station
Malpura,6.9256038,79.9227682,Waliwala junction,6.935386207796616,79.92179803919204,Bus station
Malpura,6.9256038,79.9227682,Walpola,6.918600795801119,79.92707486263836,Bus station
Malpura,6.9256038,79.9227682,140 Bus Stand,6.929724,79.9187248,Bus station
Gothatuwa New Town,6.9247781,79.9150724,I.D.H bus stop,6.923119310267675,79.91322762591658,Bus station
Gothatuwa New Town,6.9247781,79.9150724,Pasal Mawatha Bus Stop,6.917072441956849,79.91574199215383,Bus station
Gothatuwa New Town,6.9247781,79.9150724,Mahaniyara junction,6.917155795597367,79.90871251780796,Bus station
Gothatuwa New Town,6.9247781,79.9150724,140 Bus Stand,6.929724,79.9187248,Bus station
Elhena,6.9213644,79.9101748,Ambagaha Junction,6.914144832557711,79.91034148190933,Bus station
Elhena,6.9213644,79.9101748,I.D.H bus stop,6.923119310267675,79.91322762591658,Bus station
Elhena,6.9213644,79.9101748,Mahaniyara junction,6.917155795597367,79.90871251780796,Bus station
Elhena,6.9213644,79.9101748,Gothatuwa Bus Stop,6.929174677119029,79.90643978118896,Bus station
Elhena,6.9213644,79.9101748,Pasal Mawatha Bus Stop,6.917072441956849,79.91574199215383,Bus station
Dodamgahahena,6.9187765,79.9129735,Ambagaha Junction,6.914144832557711,79.91034148190933,Bus station
Dodamgahahena,6.9187765,79.9129735,I.D.H bus stop,6.923119310267675,79.91322762591658,Bus station
Dodamgahahena,6.9187765,79.9129735,Pasal Mawatha Bus Stop,6.917072441956849,79.91574199215383,Bus station
Dodamgahahena,6.9187765,79.9129735,Mahaniyara junction,6.917155795597367,79.90871251780796,Bus station
Welivita,6.9381284,79.9581592,138 Bus Line,6.932373069816743,79.9517769550128,Bus station
Welivita,6.9381284,79.9581592,Ambathale,6.937590236586033,79.94798855203204,Bus station
Hewagama,6.9313808,79.9766195,177 Bus Halt,6.9345889062879555,79.98376207818514,Bus station
