DS,GN,GN Number,Both sexes,Male,Female,Latitude,Longitude
Kolonnawa,Elhena,513E,2181,1097,1084,6.9213644,79.9101748
Kolonnawa,Dodamgahahena,505D,3403,1651,1752,6.9187765,79.9129735
Kaduwela,Welivita,475,4997,2405,2592,6.9381284,79.9581592
Kaduwela,Raggahawatta,474A,4030,1930,2100,6.9338514,79.9682293
Kaduwela,Hewagama,474,4165,2064,2101,6.9313808,79.9766195
Kaduwela,Kaduwela,473A,4342,2261,2081,6.929061,79.9827754
Kaduwela,Pahala Bomiriya,472A,4224,2103,2121,6.9344434,79.9961936
Kaduwela,Ihala Bomiriya,471,4261,2041,2220,6.9399183,80.0045811
Kaduwela,Wekewatta,471A,3863,1898,1965,6.9347978,80.0129679
Kaduwela,Nawagamuwa,470,5530,2748,2782,6.9203195,80.0171609
Kaduwela,Pahala Bomiriya B,472B,4878,2456,2422,6.9239678,80.0017854
Kaduwela,Welihinda,488A,2099,1043,1056,6.9211426,79.9933976
Kaduwela,Kothalawala,473,6091,3090,3001,6.9194938,79.9780178
Kaduwela,Mahadeniya,475A,5495,2684,2811,6.9257289,79.9598383
Kaduwela,Thalahena North,478,3131,1554,1577,6.912431,79.9570411
Kaduwela,Malabe North,476B,7680,3882,3798,6.9139619,79.9668308
Kaduwela,Thunadahena,488B,4405,2284,2121,6.9038442,79.9892034
Kaduwela,Korathota,488,9178,4443,4735,6.9093747,80.0003875
Kaduwela,Nawagamuwa South,470A,2871,1320,1551,6.9030205,80.0129679
Kaduwela,Batewela,480C,1913,863,1050,6.9059029,80.0241489
Kaduwela,Ranala,469,4842,2437,2405,6.9153759,80.0339312
Kaduwela,Dedigamuwa,480A,2105,1029,1076,6.898019,80.026944
Kaduwela,Embilladeniya,480B,1876,942,934,6.890136,80.0297389
Kaduwela,Welipillewa,480,2623,1307,1316,6.8848421,80.0297389
Kaduwela,Shanthalokagama,487A,6922,3298,3624,6.892138,79.9989895
Kaduwela,Pore,489,5133,2576,2557,6.8878446,79.9836108
Kaduwela,Malabe East,476,5958,2923,3035,6.9034905,79.9724245
Kaduwela,Malabe West,476A,5141,2509,2632,6.9019012,79.9598383
Kaduwela,Thalangama North B,477A,3777,1822,1955,6.907018,79.9514464
Kaduwela,Thalahena South,478A,2793,1337,1456,6.9122534,79.9486489
Kaduwela,Muttettugoda,477B,6734,3275,3459,6.9068404,79.9430537
Kaduwela,Thalangama North A,477,9250,4524,4726,6.9168782,79.9317302
Kaduwela,Walpola,491A,8518,4102,4416,6.918308,79.9220686
Kaduwela,Kalapaluwawa,491,4287,2041,2246,6.9141883,79.9150724
Kaduwela,Kotuwegoda,491B,3087,1544,1543,6.9113627,79.9066763
Kaduwela,Subhoothipura,492,2568,1314,1254,6.9062472,79.9150724
Kaduwela,Udumulla,492C,2465,1171,1294,6.9083957,79.9227682
Kaduwela,Udumulla,492C,2465,1171,1294,6.8213838,80.0953942
Padukka,Udumulla,461B,2340,1133,1207,6.9083957,79.9227682
Padukka,Udumulla,461B,2340,1133,1207,6.8213838,80.0953942
Kaduwela,Battaramulla North,492B,2001,979,1022,6.9011316,79.9234678
