DS,GN,GN Number,Both sexes,Male,Female,Latitude,Longitude
Maharagama,Kottawa Town,496B,5496,2796,2700,6.8411652,79.9654324
Maharagama,Pannipitiya South,531A,2255,1056,1199,6.84863,79.9430537
Maharagama,Maharagama Town,530,5453,2675,2778,6.8510951,79.9212011
Maharagama,Godigamuwa South,532A,5194,2477,2717,6.8351143,79.9290642
Maharagama,Godigamuwa South B,532B,7328,3470,3858,6.8349969,79.9234678
Maharagama,Godigamuwa North,532,4094,1864,2230,6.8402263,79.9206694
Maharagama,Wattegedara,532C,7734,3631,4103,6.8478743,79.9177543
Maharagama,Navinna,527,4901,2316,2585,6.8533309,79.9150724
Maharagama,Wijerama,526C,3675,1967,1708,6.8551817,79.9087754
Maharagama,Gangodavila South B,526B,7391,2908,4483,6.8557396,79.9038774
Maharagama,Jambugasmulla,526D,3828,1815,2013,6.8660827,79.8926809
Sri Jayawardanapura Kotte,Obsekarapura,514C,11963,5925,6038,6.9168326,79.8909959
Sri Jayawardanapura Kotte,Welikada West,514A,7004,3195,3809,6.9197426,79.89618
Sri Jayawardanapura Kotte,Welikada East,514,6749,3183,3566,6.9138311,79.8982793
Sri Jayawardanapura Kotte,Rajagiriya,514B,3591,1878,1713,6.9094108,79.8942538
Sri Jayawardanapura Kotte,Welikada North,514D,4834,2389,2445,6.9076818,79.8891817
Sri Jayawardanapura Kotte,Nawala West,520,4059,2032,2027,6.8950662,79.8870821
Sri Jayawardanapura Kotte,Ethulkotte West,521A,3371,1664,1707,6.8980694,79.9038774
Sri Jayawardanapura Kotte,Ethulkotte,521,5929,2877,3052,6.8981882,79.9094751
Sri Jayawardanapura Kotte,Pitakotte East,522A,3984,1912,2072,6.8876623,79.9122738
Sri Jayawardanapura Kotte,Pitakotte,522B,3634,1753,1881,6.8808992,79.9052768
Sri Jayawardanapura Kotte,Pitakotte West,522,5301,2439,2862,6.8900117,79.8982793
Sri Jayawardanapura Kotte,Nawala East,520B,5473,2573,2900,6.8898929,79.8926809
Sri Jayawardanapura Kotte,Nugegoda West,519B,5627,2635,2992,6.8805433,79.8884819
Sri Jayawardanapura Kotte,Pagoda,519A,5446,2537,2909,6.8820145,79.8954802
Sri Jayawardanapura Kotte,Nugegoda,519,3365,1678,1687,6.8746946,79.8933807
Sri Jayawardanapura Kotte,Pagoda East,519C,5944,2902,3042,6.8708747,79.9003786
Sri Jayawardanapura Kotte,Gangodavila North,526,5352,2493,2859,6.8662011,79.8982793
Sri Jayawardanapura Kotte,Gangodavila South,526A,7305,3554,3751,6.8637334,79.9066763
Sri Jayawardanapura Kotte,Gangodavila East,526C,3287,1606,1681,6.8658207,79.9115741
Thimbirigasyaya,Kollupitiya,,6711,3549,3162,6.9128154,79.8506815
Thimbirigasyaya,Bambalapitiya,,7564,3621,3943,6.904361,79.8540397
Thimbirigasyaya,Kuppiyawatta West,,6954,3468,3486,6.9244694,79.8695837
Thimbirigasyaya,Kuppiyawatta East,,10577,5498,5079,6.9258829,79.8737836
Thimbirigasyaya,Dematagoda,,18602,9356,9246,6.9352993,79.8807831
Thimbirigasyaya,Wanathamulla,,17355,8547,8808,6.9267093,79.881483
Thimbirigasyaya,Borella North,,21326,13617,7709,6.9187673,79.881483
Thimbirigasyaya,Borella South,,5127,2566,2561,6.9134135,79.8786833
Thimbirigasyaya,Gothamipura,,6498,3213,3285,6.9082392,79.8842826
Thimbirigasyaya,Narahenpita,,11194,5503,5691,6.8975934,79.881483
Thimbirigasyaya,Thimbirigasyaya,,12675,5949,6726,6.9113085,79.8774776
Thimbirigasyaya,Milagiriya,,7389,3214,4175,6.8908919,79.8585318
Thimbirigasyaya,Havelock Town,,7455,3464,3991,6.8866519,79.8646835
Thimbirigasyaya,Kirula,,20237,9576,10661,6.8923337,79.8769706
Thimbirigasyaya,Kirulapone,,17846,8818,9028,6.8814717,79.8763476
Thimbirigasyaya,Wellawatta North,,14967,7131,7836,6.8786556,79.8618833
Thimbirigasyaya,Wellawatta South,,10826,5059,5767,6.8654301,79.8618833
Thimbirigasyaya,Pamankada West,,12451,5658,6793,6.8734246,79.8646835
Thimbirigasyaya,Pamankada East,,12389,6150,6239,6.8763077,79.8758835
Dehiwala,Sri Saranankara,538C,6367,3111,3256,6.8688699,79.8681837
Dehiwala,Vilawala,537,6334,3095,3239,6.8709577,79.8730837
Dehiwala,Dutugemunu,537A,4806,2388,2418,6.8684907,79.881483
Dehiwala,Kohuwala,537B,5475,2567,2908,6.8624842,79.8854983
Dehiwala,Kalubovila,538,5517,2674,2843,6.8580211,79.8765701
Dehiwala,Hathbodhiya,538B,6228,3049,3179,6.866517,79.8686086
Dehiwala,Galwala,538A,5671,2814,2857,6.860965,79.8695837
Dehiwala,Dehiwala West,540A,5184,2499,2685,6.857496,79.8618833
Dehiwala,Dehiwala East,540,6767,3262,3505,6.8582907,79.8681837
Dehiwala,Udyanaya,536A,5914,2891,3023,6.855148,79.8758835
Dehiwala,Nedimala,536,9058,4356,4702,6.8552665,79.881483
Dehiwala,Malwatta,539/42A,3543,1714,1829,6.8523851,79.8702837
Dehiwala,Jayathilaka,540B,4374,2108,2266,6.8516203,79.8653836
Dehiwala,Karagampitiya,539/42,5633,2826,2807,6.847802,79.8723837
Dehiwala,Kawdana East,539/42B,8091,3847,4244,6.8446891,79.881483
Ratmalana,Mount Lavinia,541,8373,4255,4118,6.8195453,79.8800832
Ratmalana,Kawdana West,539/42C,6624,3199,3425,6.8451283,79.8709837
Ratmalana,Watarappala,544,6311,3116,3195,6.8388036,79.8704443
Ratmalana,Wathumulla,544A,4608,2210,2398,6.8312336,79.8702837
Ratmalana,Katukurunduwatta,545A,12166,5944,6222,6.832703,79.8772834
Ratmalana,Attidiya North,543,8854,4284,4570,6.8368753,79.8870821
Ratmalana,Attidiya South,543B,7683,3686,3997,6.8261828,79.881483
Ratmalana,Piriwena,545,5018,2380,2638,6.8268704,79.8705901
Ratmalana,Wedikanda,546A,7585,3635,3950,6.8258287,79.8646835
Ratmalana,Vihara,546B,6443,3097,3346,6.8179585,79.8674837
Ratmalana,Rathmalana West,546,5736,2847,2889,6.8100891,79.8702837
Ratmalana,Rathmalana East,546C,6564,3408,3156,6.8128496,79.8758835
Ratmalana,Kandawala,543A,9541,4725,4816,6.8223652,79.8884819
Moratuwa,Angulana North,547,4201,2107,2094,6.8028664,79.8723837
Moratuwa,Kaldemulla,548,4805,2299,2506,6.8056265,79.8779834
Moratuwa,Soysapura North,548A,2898,1339,1559,6.8047311,79.8825329
Moratuwa,Soysapura South,548B,2711,1305,1406,6.8034246,79.8832328
Moratuwa,Thelawala North,549B,5385,2696,2689,6.8106185,79.8954802
Moratuwa,Borupana,549A,5918,2913,3005,6.8139074,79.8947804
Moratuwa,Thelawala South,549,3916,1826,2090,6.804599,79.8919811
Moratuwa,Lakshapathiya North,550A,4481,2168,2313,6.7998133,79.8842826
Moratuwa,Lakshapathiya Central,550B,3049,1508,1541,6.7950574,79.8779834
Moratuwa,Angulana South,547A,3333,1681,1652,6.7976114,79.8737836
Moratuwa,Uyana South,552A,4464,2186,2278,6.7838443,79.8786833
Moratuwa,Uyana North,552B,3783,1862,1921,6.7917109,79.8758835
Moratuwa,Rawathawatta South,557B,2144,973,1171,6.786016,79.887782
Moratuwa,Rawathawatta East,557,4033,1941,2092,6.791329,79.8891817
Moratuwa,Lakshapathiya South,550,5380,2564,2816,6.7951748,79.8835827
Moratuwa,Kuduwamulla,551B,3194,1618,1576,6.794881,79.8910947
Moratuwa,Katubedda,551,10596,5500,5096,6.8014572,79.8996789
Moratuwa,Molpe,551A,7487,3956,3531,6.7922385,79.9010784
Moratuwa,Moratumulla North,551C,3255,1590,1665,6.7900959,79.8933807
Moratuwa,Kadalana,558A,3544,1711,1833,6.7820827,79.8891817
Moratuwa,Rawathawatta West,557A,3375,1554,1821,6.7918869,79.8842826
Moratuwa,Idama,552,2826,1277,1549,6.7786784,79.8842826
Moratuwa,Uswatta,553C,2174,1019,1155,6.7739537,79.8793833
Moratuwa,Moratuwella South,553,4524,2111,2413,6.7681136,79.8842826
Moratuwa,Indibedda West,559,4437,2209,2228,6.7783251,79.8989791
Moratuwa,Moratumulla East,558,3854,1899,1955,6.7835499,79.89618
Moratuwa,Moratumulla West,558B,3630,1759,1871,6.7808497,79.8933807
Moratuwa,Villorawatta East,560/61,3678,1767,1911,6.787013,79.9038774
Moratuwa,Villorawatta West,560/61A,4689,2303,2386,6.7849585,79.9003786
Moratuwa,Indibedda East,559A,3592,1779,1813,6.7738048,79.9038774
Moratuwa,Moratuwella North,553A,2236,1091,1145,6.7733958,79.8842826
Moratuwa,Moratuwella West,553B,2394,1211,1183,6.7660598,79.8807831
Moratuwa,Koralawella North,554,5696,2785,2911,6.7601911,79.8842826
Moratuwa,Koralawella East,554B,2192,1046,1146,6.7629486,79.8898816
Moratuwa,Koralawella West,554C,3531,1719,1812,6.7556722,79.8891817
Moratuwa,Koralawella South,554A,3582,1735,1847,6.7517407,79.8905814
Moratuwa,Katukurunda North,555,3551,1722,1829,6.7471639,79.8926809
Moratuwa,Katukurunda South,555A,4399,2128,2271,6.7419419,79.8954802
Moratuwa,Egoda Uyana North,556,4603,2229,2374,6.7325805,79.8977861
Moratuwa,Egoda Uyana Central,556A,2869,1418,1451,6.7288014,79.8982793
Moratuwa,Egoda Uyana South,556B,5123,2531,2592,6.7209414,79.9010784
Kesbewa,Pepiliyana West,535,5039,2423,2616,6.8580295,79.8870821
Kesbewa,Pepiliyana East,535C,1765,850,915,6.8581479,79.8926809
Kesbewa,Divulpitiya East,535D,2328,1192,1136,6.8535936,79.89618
Kesbewa,Divulpitiya West,535B,2631,1339,1292,6.8502141,79.8926809
Kesbewa,Bellanvila,535A,3413,1689,1724,6.8481569,79.8891817
Kesbewa,Boralesgamuwa West A,533B,4466,2058,2408,6.8390204,79.8947804
Kesbewa,Boralesgamuwa West C,533F,1485,739,746,6.8430161,79.89618
Kesbewa,Rattanapitiya,533A,4768,2201,2567,6.8477468,79.9010784
Kesbewa,Egodawatta,533C,3310,1462,1848,6.8505093,79.9066763
Kesbewa,Boralesgamuwa East A,533,4842,2372,2470,6.8425172,79.9038774
Kesbewa,Boralesgamuwa West B,533E,2822,1373,1449,6.8345262,79.9010784
Kesbewa,Werahera North,577,1977,983,994,6.8292387,79.9010784
Kesbewa,Boralesgamuwa East B,533D,5204,2508,2696,6.8400498,79.9122738
Kesbewa,Neelammahara,579,3358,1649,1709,6.8322354,79.9178709
Kesbewa,Katuwawala North,578,3697,1803,1894,6.8321178,79.9122738
Kesbewa,Vishwakalawa,574B,2045,967,1078,6.80539,79.9297637
Kesbewa,Werahera South,577A,5213,2547,2666,6.8213671,79.9038774
Kesbewa,Katuwawala South,578A,1489,707,782,6.8262135,79.9143728
Kesbewa,Niwanthidiya,580A,3435,1648,1787,6.8244216,79.9234678
Kesbewa,Erewwala West,581A,6544,3135,3409,6.8246562,79.9346603
Kesbewa,Erewwala North,581D,4373,2138,2235,6.8300024,79.9374582
Kesbewa,Erewwala East,581,2542,1284,1258,6.838052,79.9430537
Kesbewa,Rathmaldeniya,581C,5440,2581,2859,6.8395208,79.9500477
Kesbewa,Mahalwarawa,581E,2773,1315,1458,6.838345,79.9570411
Kesbewa,Bangalawatta,581B,2194,1001,1193,6.8364642,79.9619361
Kesbewa,Pelenwatta East,582B,4032,1975,2057,6.8271219,79.9577404
Kesbewa,Pelenwatta North,582,4703,2276,2427,6.8250074,79.9514464
Kesbewa,Pelenwatta West,582A,5503,2682,2821,6.8235393,79.9444526
Kesbewa,Paligedara,583A,3050,1443,1607,6.8186642,79.9325618
Kesbewa,Kaliyammahara,580,3042,1493,1549,6.8191933,79.926266
Kesbewa,Bokundara,575,3633,1773,1860,6.8164327,79.9206694
Kesbewa,Thumbovila South,576B,3303,1654,1649,6.8110292,79.9150724
Kesbewa,Thumbovila North,576A,4037,1962,2075,6.813555,79.9094751
Kesbewa,Wewala West,562B,4949,2425,2524,6.8002825,79.9066763
Kesbewa,Wewala East,562,2655,1276,1379,6.8050096,79.9115741
Kesbewa,Thumbovila West,576,2697,1292,1405,6.8031593,79.9178709
Kesbewa,Mampe North,574A,4690,2301,2389,6.8086205,79.926266
Kesbewa,Makuludoowa,583,3257,1556,1701,6.8140823,79.9346603
Kesbewa,Gorakapitiya,584,1749,827,922,6.8143746,79.9486489
Kesbewa,Nampamunuwa,584A,3385,1643,1742,6.8090297,79.9458514
Kesbewa,Mavittara North,586A,2761,1338,1423,6.8062699,79.940256
Kesbewa,Mampe East,574D,2040,984,1056,6.8041563,79.9339608
Kesbewa,Bodhirajapura,577B,2303,1155,1148,6.828343,79.9056267
Kesbewa,Mampe West,574,3055,1506,1549,6.8007506,79.9290642
Kesbewa,Mampe South,574C,2070,985,1085,6.7961115,79.9283647
Kesbewa,Kolamunna,563/73A,3633,1723,1910,6.7953487,79.9234678
Kesbewa,Suwarapola East,562A,2779,1298,1481,6.7978742,79.9178709
Kesbewa,Suwarapola West,562C,1387,679,708,6.7957315,79.9101748
Kesbewa,Hedigama,563/73,4294,2104,2190,6.789772,79.9094751
Kesbewa,Batakettara North,565,5847,2853,2994,6.7860718,79.9220686
Kesbewa,Kesbewa North,572,4279,2014,2265,6.7955822,79.9346603
Kesbewa,Kesbewa East,572B,2019,980,1039,6.7930564,79.940256
Kesbewa,Mavittara South,586,1880,902,978,6.8009842,79.940256
Kesbewa,Honnanthara North,585,3522,1716,1806,6.803802,79.9486489
Kesbewa,Honnanthara South,585A,3939,1853,2086,6.7932312,79.9486489
Kesbewa,Makandana East,569,4947,2419,2528,6.7825458,79.9430537
Kesbewa,Kesbewa South,572A,6316,3130,3186,6.7850714,79.9374582
Kesbewa,Batakettara South,565A,6628,3320,3308,6.7795545,79.926266
Kesbewa,Madapatha,567,3799,1888,1911,6.7690465,79.9290642
Kesbewa,Delthara West,564,2084,1039,1045,6.784488,79.9094751
Kesbewa,Delthara East,564A,1524,754,770,6.7766797,79.9150724
Kesbewa,Makandana West,569A,4434,2150,2284,6.7719205,79.940256
Kesbewa,Nivungama,568A,2196,1078,1118,6.7780533,79.9493483
Kesbewa,Halpita,570/571,5487,2659,2828,6.7814864,79.9556424
Kesbewa,Horathuduwa,570/71A,1604,754,850,6.7716049,79.8933807
Kesbewa,Morenda,568,1300,629,671,6.771507,79.9521458
Kesbewa,Batuwandara North,596,1545,717,828,6.7694533,79.9486489
Kesbewa,Batuwandara South,596A,1481,734,747,6.7647873,79.9465508
Kesbewa,Jamburaliya,597,3184,1602,1582,6.7587722,79.9430537
Kesbewa,Polhena,598B,2339,1117,1222,6.7612391,79.9346603
Kesbewa,Regidel Watta,598A,1270,638,632,6.7559572,79.9346603
Kesbewa,Kahapola,598,3283,1615,1668,6.7558411,79.9290642
