DS,GN,GN Number,Both sexes,Male,Female
Moratuwa,Rawathawatta West,557A,"3,375","1,554","1,821"
Moratuwa,Idama,552,"2,826","1,277","1,549"
Moratuwa,Uswatta,553C,"2,174","1,019","1,155"
Moratuwa,Moratuwella South,553,"4,524","2,111","2,413"
Moratuwa,Indibedda West,559,"4,437","2,209","2,228"
Moratuwa,Moratumulla East,558,"3,854","1,899","1,955"
Moratuwa,Moratumulla West,558B,"3,630","1,759","1,871"
Moratuwa,Villorawatta East,560/61,"3,678","1,767","1,911"
Moratuwa,Villorawatta West,560/61A,"4,689","2,303","2,386"
Moratuwa,Indibedda East,559A,"3,592","1,779","1,813"
Moratuwa,Moratuwella North,553A,"2,236","1,091","1,145"
Moratuwa,Moratuwella West,553B,"2,394","1,211","1,183"
Moratuwa,Koralawella North,554,"5,696","2,785","2,911"
Moratuwa,Koralawella East,554B,"2,192","1,046","1,146"
Moratuwa,Koralawella West,554C,"3,531","1,719","1,812"
Moratuwa,Koralawella South,554A,"3,582","1,735","1,847"
Moratuwa,Katukurunda North,555,"3,551","1,722","1,829"
Moratuwa,Katukurunda South,555A,"4,399","2,128","2,271"
Moratuwa,Egoda Uyana North,556,"4,603","2,229","2,374"
Moratuwa,Egoda Uyana Central,556A,"2,869","1,418","1,451"
Moratuwa,Egoda Uyana South,556B,"5,123","2,531","2,592"
Kesbewa,Pepiliyana West,535,"5,039","2,423","2,616"
Kesbewa,Pepiliyana East,535C,"1,765",850,915
Kesbewa,Divulpitiya East,535D,"2,328","1,192","1,136"
Kesbewa,Divulpitiya West,535B,"2,631","1,339","1,292"
Kesbewa,Bellanvila,535A,"3,413","1,689","1,724"
Kesbewa,Boralesgamuwa West A,533B,"4,466","2,058","2,408"
Kesbewa,Boralesgamuwa West C,533F,"1,485",739,746
Kesbewa,Rattanapitiya,533A,"4,768","2,201","2,567"
Kesbewa,Egodawatta,533C,"3,310","1,462","1,848"
Kesbewa,Boralesgamuwa East A,533,"4,842","2,372","2,470"
Kesbewa,Boralesgamuwa West B,533E,"2,822","1,373","1,449"
Kesbewa,Werahera North,577,"1,977",983,994
Kesbewa,Boralesgamuwa East B,533D,"5,204","2,508","2,696"
Kesbewa,Neelammahara,579,"3,358","1,649","1,709"
Kesbewa,Katuwawala North,578,"3,697","1,803","1,894"
Kesbewa,Vishwakalawa,574B,"2,045",967,"1,078"
Kesbewa,Werahera South,577A,"5,213","2,547","2,666"
Kesbewa,Katuwawala South,578A,"1,489",707,782
Kesbewa,Niwanthidiya,580A,"3,435","1,648","1,787"
Kesbewa,Erewwala West,581A,"6,544","3,135","3,409"
Kesbewa,Erewwala North,581D,"4,373","2,138","2,235"
Kesbewa,Erewwala East,581,"2,542","1,284","1,258"
Kesbewa,Rathmaldeniya,581C,"5,440","2,581","2,859"
Kesbewa,Mahalwarawa,581E,"2,773","1,315","1,458"
Kesbewa,Bangalawatta,581B,"2,194","1,001","1,193"
Kesbewa,Pelenwatta East,582B,"4,032","1,975","2,057"
Kesbewa,Pelenwatta North,582,"4,703","2,276","2,427"
Kesbewa,Pelenwatta West,582A,"5,503","2,682","2,821"
Kesbewa,Paligedara,583A,"3,050","1,443","1,607"
Kesbewa,Kaliyammahara,580,"3,042","1,493","1,549"
Kesbewa,Bokundara,575,"3,633","1,773","1,860"
Kesbewa,Thumbovila South,576B,"3,303","1,654","1,649"
Kesbewa,Thumbovila North,576A,"4,037","1,962","2,075"
Kesbewa,Wewala West,562B,"4,949","2,425","2,524"
Kesbewa,Wewala East,562,"2,655","1,276","1,379"
Kesbewa,Thumbovila West,576,"2,697","1,292","1,405"
Kesbewa,Mampe North,574A,"4,690","2,301","2,389"
Kesbewa,Makuludoowa,583,"3,257","1,556","1,701"
Kesbewa,Gorakapitiya,584,"1,749",827,922
Kesbewa,Nampamunuwa,584A,"3,385","1,643","1,742"
Kesbewa,Mavittara North,586A,"2,761","1,338","1,423"
Kesbewa,Mampe East,574D,"2,040",984,"1,056"
Kesbewa,Bodhirajapura,577B,"2,303","1,155","1,148"
Kesbewa,Mampe West,574,"3,055","1,506","1,549"
Kesbewa,Mampe South,574C,"2,070",985,"1,085"
Kesbewa,Kolamunna,563/73A,"3,633","1,723","1,910"
Kesbewa,Suwarapola East,562A,"2,779","1,298","1,481"
Kesbewa,Suwarapola West,562C,"1,387",679,708
Kesbewa,Hedigama,563/73,"4,294","2,104","2,190"
Kesbewa,Batakettara North,565,"5,847","2,853","2,994"
Kesbewa,Kesbewa North,572,"4,279","2,014","2,265"
Kesbewa,Kesbewa East,572B,"2,019",980,"1,039"
Kesbewa,Mavittara South,586,"1,880",902,978
Kesbewa,Honnanthara North,585,"3,522","1,716","1,806"
Kesbewa,Honnanthara South,585A,"3,939","1,853","2,086"
Kesbewa,Makandana East,569,"4,947","2,419","2,528"
Kesbewa,Kesbewa South,572A,"6,316","3,130","3,186"
Kesbewa,Batakettara South,565A,"6,628","3,320","3,308"
Kesbewa,Madapatha,567,"3,799","1,888","1,911"
Kesbewa,Delthara West,564,"2,084","1,039","1,045"
Kesbewa,Delthara East,564A,"1,524",754,770
Kesbewa,Dampe,566,"4,165","2,047","2,118"
Kesbewa,Makandana West,569A,"4,434","2,150","2,284"
Kesbewa,Nivungama,568A,"2,196","1,078","1,118"
Kesbewa,Halpita,570/571,"5,487","2,659","2,828"
Kesbewa,Horathuduwa,570/71A,"1,604",754,850
Kesbewa,Morenda,568,"1,300",629,671
Kesbewa,Batuwandara North,596,"1,545",717,828
Kesbewa,Batuwandara South,596A,"1,481",734,747
Kesbewa,Jamburaliya,597,"3,184","1,602","1,582"
Kesbewa,Polhena,598B,"2,339","1,117","1,222"
Kesbewa,Regidel Watta,598A,"1,270",638,632
Kesbewa,Kahapola,598,"3,283","1,615","1,668"
