DS,GN,GN Number,Both sexes,Male,Female
Kaduwela,Pore,489,"5,133","2,576","2,557"
Kaduwela,Malabe East,476,"5,958","2,923","3,035"
Kaduwela,Malabe West,476A,"5,141","2,509","2,632"
Kaduwela,Thalangama North B,477A,"3,777","1,822","1,955"
Kaduwela,Thalahena South,478A,"2,793","1,337","1,456"
Kaduwela,Muttettugoda,477B,"6,734","3,275","3,459"
Kaduwela,Thalangama North A,477,"9,250","4,524","4,726"
Kaduwela,Walpola,491A,"8,518","4,102","4,416"
Kaduwela,Kalapaluwawa,491,"4,287","2,041","2,246"
Kaduwela,Kotuwegoda,491B,"3,087","1,544","1,543"
Kaduwela,Subhoothipura,492,"2,568","1,314","1,254"
Kaduwela,Udumulla,492C,"2,465","1,171","1,294"
Kaduwela,Battaramulla North,492B,"2,001",979,"1,022"
Kaduwela,Batapotha,479E,"7,582","3,761","3,821"
Kaduwela,Pothuarawa,477C,"7,422","3,572","3,850"
Kaduwela,Hokandara North,494,"6,238","3,116","3,122"
Kaduwela,Oruwala,487,"4,501","2,165","2,336"
Kaduwela,Athurugiriya,490,"5,799","2,783","3,016"
Kaduwela,Thaldiyawala,490B,"3,027","1,458","1,569"
Kaduwela,Boralugoda,489A,"3,149","1,553","1,596"
Kaduwela,Hokandara East,494A,"5,113","2,548","2,565"
Kaduwela,Arangala,494B,"5,512","2,784","2,728"
Kaduwela,Evarihena,495A,"2,607","1,245","1,362"
Kaduwela,Kumaragewatta,479D,"5,076","2,480","2,596"
Kaduwela,Jayawadanagama,479,"2,208","1,035","1,173"
Kaduwela,Aruppitiya,479F,"2,354","1,162","1,192"
Kaduwela,Asiri Uyana,479B,"3,057","1,452","1,605"
Kaduwela,Battaramulla South,492A,"1,580",736,844
Kaduwela,Rajamalwatta,492D,"2,014","1,005","1,009"
Kaduwela,Pahalawela,479A,"4,442","2,109","2,333"
Kaduwela,Wickramasinghapura,479C,"3,136","1,532","1,604"
Kaduwela,Wellangiriya,495,"4,725","2,306","2,419"
Kaduwela,Hokandara South,494C,"5,548","2,737","2,811"
Kaduwela,Athurugiriya South,490A,"3,718","1,834","1,884"
Homagama,Jalthara,449,"7,292","3,581","3,711"
Homagama,Henpita,451,"1,484",763,721
Homagama,Atigala West,446A,"1,501",728,773
Homagama,Atigala East,446,"1,921",958,963
Homagama,Batawala,450,"1,771",845,926
Homagama,Walpita,450A,"1,654",816,838
Homagama,Nawalamulla,482D,"3,005","1,481","1,524"
Homagama,Meegasmulla,482E,"3,022","1,558","1,464"
Homagama,Habarakada North,481,"2,723","1,356","1,367"
Homagama,Mullegama North,481D,"1,256",592,664
Homagama,Mullegama South,481A,"3,142","1,515","1,627"
Homagama,Habarakada South,481B,"2,406","1,167","1,239"
Homagama,Panagoda Town,482B,"1,755",838,917
Homagama,Henawatta,482C,"6,703","3,272","3,431"
Homagama,Meegoda North,447,"3,060","1,502","1,558"
Homagama,Panaluwa,447B,"4,725","2,424","2,301"
Homagama,Watareka North,448B,"4,165","2,065","2,100"
